names,scores,logfoldchanges,pvals,pvals_adj
PHF5A,16.94672,1.7128388,2.03493726655931e-64,2.145317197078739e-62
JTB,16.944149,1.4858955,2.1258462704604768e-64,2.233636663570067e-62
TNIP2,16.932613,1.6412727,2.5863876890432943e-64,2.708440967613197e-62
PMF1,16.918669,1.601311,3.277512826894945e-64,3.4207401374302545e-62
NSA2,16.917053,1.4710026,3.368694813049576e-64,3.5042260229699424e-62
DNAJA2,16.91261,1.7846185,3.6326575650482205e-64,3.7662960602392327e-62
SURF4,16.912039,1.5759279,3.6679834717890936e-64,3.7903706430755214e-62
ATP1B3,16.897099,1.4965177,4.725929857022182e-64,4.867552294513866e-62
NDUFS7,16.883186,1.544579,5.982632721939472e-64,6.141711906775305e-62
GBP2,16.874866,1.4511194,6.888123266501719e-64,7.048170836517494e-62
DDX18,16.872034,1.4166769,7.226512147795915e-64,7.370336216926316e-62
SHMT2,16.868616,2.0889928,7.656903497946452e-64,7.783938487798745e-62
UBA2,16.859282,1.6860194,8.967366183392468e-64,9.086640859812348e-62
CISH,16.843723,2.1019711,1.166604664549273e-63,1.1783083436032996e-61
NDUFA12,16.841145,1.3521197,1.2185728883592688e-63,1.2268403764442786e-61
SLIRP,16.838205,1.5049046,1.2806268977438308e-63,1.2851829742069578e-61
AC004448.1,16.833874,1.6928967,1.3778539523150412e-63,1.3783381821385384e-61
ADRM1,16.832983,1.4960394,1.3987490615207606e-63,1.3947844543081699e-61
RNF213,16.825468,1.5186758,1.587994850875163e-63,1.578466881769912e-61
ANP32A,16.824064,1.5330571,1.62610511701561e-63,1.6112334594580938e-61
SNRNP70,16.81126,1.6804057,2.0183137056609285e-63,1.993546386055184e-61
NDUFS8,16.808626,1.4127934,2.110060487426452e-63,2.077613330874517e-61
EIF3I,16.801691,1.4187882,2.3718544932166662e-63,2.3280606908184024e-61
ETS1,16.798635,1.6727997,2.4971989585028823e-63,2.443431143427617e-61
AC058791.1,16.797787,1.6714404,2.5331984887578004e-63,2.4675293890107162e-61
MT1X,16.797684,1.6826419,2.5375889088864956e-63,2.4675293890107162e-61
SUPT4H1,16.786243,1.3708657,3.077132459152087e-63,2.9829131402015787e-61
STIP1,16.781668,1.7238734,3.323711863424921e-63,3.211998214682028e-61
LSM4,16.775742,1.5035135,3.6725106976363303e-63,3.53815330626742e-61
PRDX1,16.773312,1.51759,3.825840678693368e-63,3.674567407686136e-61
SELENOT,16.772493,1.4233917,3.8788570516106337e-63,3.714094591528457e-61
MTDH,16.769924,1.505574,4.050190690738708e-63,3.8663268511499906e-61
PPIB,16.764263,1.4835192,4.455075421838909e-63,4.239904757847967e-61
TARS,16.763176,1.8222044,4.5372142421151896e-63,4.304991367723294e-61
CCDC167,16.759003,1.8721615,4.867217556822452e-63,4.604152535397819e-61
EIF5B,16.757164,1.4952801,5.02006472495524e-63,4.7344351386467926e-61
PSMA3,16.753017,1.3922204,5.382585439435386e-63,5.061085065890732e-61
NARS,16.748617,1.6977266,5.795845810588475e-63,5.4333451549501714e-61
SELENOF,16.73779,1.37513,6.952374822436745e-63,6.498083822845282e-61
NAA10,16.736078,1.6005123,7.155039730331918e-63,6.667602648703056e-61
SLC38A1,16.721579,1.5387743,9.126951551874598e-63,8.479940060556248e-61
C1orf43,16.7194,1.513866,9.466717021120849e-63,8.769596942257839e-61
SNHG15,16.712648,1.7728808,1.0602204794417103e-62,9.792496587551443e-61
SELENOS,16.706253,1.5198388,1.180220022976422e-62,1.0868785041004337e-60
YIF1A,16.705196,1.6915094,1.2013131912206e-62,1.1030591592465748e-60
MRPL47,16.700739,1.4871093,1.2945030699578864e-62,1.185151626416707e-60
ILF2,16.69974,1.4282639,1.3163817084322835e-62,1.2016684452688988e-60
PSMD7,16.678041,1.479157,1.8932610468787902e-62,1.7232528092680756e-60
PSMB1,16.675583,1.4413426,1.972808329775677e-62,1.7904522206842382e-60
RPS19BP1,16.673252,1.4566762,2.051219353690661e-62,1.8562349474973493e-60
MRPL51,16.672985,1.4182849,2.060450400591267e-62,1.859215057432656e-60
LMAN2,16.669943,1.4385072,2.168032226709307e-62,1.9506683060487102e-60
NDUFC2,16.64779,1.4177675,3.1397885047313987e-62,2.8169030908780754e-60
ATP5C1,16.643023,1.4074134,3.4001842326106174e-62,3.041804814493458e-60
